City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nuku'alofa,-21.1333,-175.2,23.19,78,75,0.51,TO,1686625376
1,arrifes,37.7667,-25.7,18.14,100,100,4.12,PT,1686625376
2,bredasdorp,-34.5322,20.0403,14.19,75,78,10.56,ZA,1686625376
3,kudahuvadhoo,2.6708,72.8944,28.74,75,87,5.87,MV,1686625231
4,tazovsky,67.4667,78.7,1.06,91,100,7.98,RU,1686625376
5,vila franca do campo,37.7167,-25.4333,19.23,98,100,4.64,PT,1686625376
6,colonia,50.9333,6.95,18.25,62,0,1.54,DE,1686625321
7,conde,-7.2597,-34.9075,23.7,100,20,2.06,BR,1686625377
8,bethel,41.3712,-73.414,19.16,89,100,2.06,US,1686625377
9,blackmans bay,-43.0167,147.3167,13.18,76,100,3.92,AU,1686625377
10,guerrero negro,27.9769,-114.0611,16.97,80,53,8.0,MX,1686625350
11,bilibino,68.0546,166.4372,7.05,89,100,5.75,RU,1686625377
12,adamstown,-25.066,-130.1015,20.53,62,38,3.01,PN,1686625377
13,constantia,44.1833,28.65,12.61,85,40,6.95,RO,1686625378
14,fortuna,40.5982,-124.1573,14.08,94,100,5.14,US,1686625176
15,kutum,14.2,24.6667,24.06,55,100,2.06,SD,1686625378
16,isafjordur,66.0755,-23.124,7.6,81,68,2.96,IS,1686625378
17,el calafate,-50.3408,-72.2768,0.29,70,100,1.34,AR,1686625378
18,singkil,-7.9855,111.4161,28.64,66,100,3.02,ID,1686625179
19,san antonio oeste,-40.7319,-64.9477,7.35,42,6,5.57,AR,1686625378
20,techirghiol,44.05,28.6,12.74,87,67,6.17,RO,1686625378
21,haiku-pauwela,20.9219,-156.3051,28.01,57,0,10.29,US,1686625379
22,kayangel,8.0823,134.7173,27.61,78,64,4.03,PW,1686625379
23,waitangi,-43.9535,-176.5597,11.01,88,94,1.79,NZ,1686625379
24,invercargill,-46.4,168.35,11.66,83,63,1.26,NZ,1686625157
25,vorgashor,67.5833,63.95,8.23,53,100,5.75,RU,1686625379
26,vilyuysk,63.7553,121.6247,16.04,28,1,5.82,RU,1686625379
27,port-aux-francais,-49.35,70.2167,6.16,88,100,13.91,TF,1686625380
28,trstena,49.361,19.6125,8.86,93,74,1.78,SK,1686625380
29,kerikeri,-35.2268,173.9474,17.17,67,5,3.81,NZ,1686625203
30,port elizabeth,-33.918,25.5701,13.39,66,0,3.6,ZA,1686625380
31,kita,13.0349,-9.4895,27.92,61,88,2.58,ML,1686625380
32,callao,-12.0667,-77.15,21.16,78,75,8.75,PE,1686625380
33,olonkinbyen,70.9221,-8.7187,1.6,90,100,8.97,SJ,1686625381
34,badger,64.8,-147.5333,17.14,44,100,7.72,US,1686625160
35,punta arenas,-53.15,-70.9167,6.06,70,20,6.17,CL,1686625159
36,georgetown,5.4112,100.3354,30.96,78,20,3.09,MY,1686625247
37,lazaro cardenas,17.9583,-102.2,27.11,78,1,3.37,MX,1686625381
38,abepura,-2.6333,140.5833,29.45,70,40,2.06,ID,1686625381
39,avarua,-21.2078,-159.775,26.03,83,20,7.72,CK,1686625382
40,newman,37.3138,-121.0208,26.27,60,51,2.24,US,1686625382
41,quepos,9.4236,-84.1652,26.89,86,93,0.54,CR,1686625382
42,manicore,-5.8092,-61.3003,24.98,81,47,0.33,BR,1686625382
43,pikalevo,59.5183,34.1664,8.73,65,11,1.59,RU,1686625382
44,aasiaat,68.7098,-52.8699,-2.59,86,44,2.1,GL,1686625382
45,kurchatov,51.6601,35.6521,12.23,81,85,4.82,RU,1686625383
46,lebu,-37.6167,-73.65,7.8,70,0,6.13,CL,1686625176
47,villa regina,-39.1,-67.0667,3.88,36,0,3.82,AR,1686625383
48,atafu village,-8.5421,-172.5159,28.68,75,33,6.83,TK,1686625160
49,kargopol',61.5071,38.9456,12.22,63,100,2.48,RU,1686625383
50,labrador city,52.9463,-66.9114,6.95,87,40,0.0,CA,1686625191
51,bandarbeyla,9.4942,50.8122,26.82,70,100,13.12,SO,1686625383
52,minna,9.6139,6.5569,24.84,88,0,1.03,NG,1686625383
53,gebeit,21.0667,36.3167,25.74,32,0,0.23,SD,1686625384
54,ushuaia,-54.8,-68.3,4.81,75,20,10.8,AR,1686625384
55,nar'yan-mar,67.6713,53.087,9.62,56,82,4.16,RU,1686625384
56,ribeira grande,38.5167,-28.7,19.32,97,10,0.89,PT,1686625150
57,ancud,-41.8697,-73.8203,4.52,90,61,2.61,CL,1686625384
58,lingcheng,22.7072,110.3492,30.92,68,70,1.9,CN,1686625385
59,dakhla,23.6848,-15.958,21.11,90,6,7.05,EH,1686625385
60,yantai,37.5333,121.4,20.8,62,0,3.66,CN,1686625385
61,nishinoomote,30.7333,131.0,24.31,100,75,3.09,JP,1686625385
62,margaret river,-33.95,115.0667,15.98,69,100,7.74,AU,1686625377
63,preobrazheniye,42.9019,133.9064,15.66,89,100,2.05,RU,1686625385
64,wailua homesteads,22.0669,-159.378,27.24,81,40,6.17,US,1686625386
65,puerto natales,-51.7236,-72.4875,1.97,94,100,1.88,CL,1686625386
66,edinburgh of the seven seas,-37.0676,-12.3116,15.11,90,100,8.33,SH,1686625386
67,pestretsy,55.7531,49.6545,11.08,67,0,3.8,RU,1686625386
68,jamestown,42.097,-79.2353,12.8,79,100,4.12,US,1686625231
69,papatowai,-46.5619,169.4708,11.42,80,27,2.29,NZ,1686625386
70,albany,42.6001,-73.9662,21.23,82,100,1.79,US,1686625386
71,nadi,-17.8,177.4167,28.0,69,40,5.14,FJ,1686625110
72,iskateley,67.6803,53.1512,9.6,56,79,4.15,RU,1686625387
73,tiksi,71.6872,128.8694,2.76,96,100,3.1,RU,1686625143
74,talnakh,69.4865,88.3972,10.79,62,89,2.4,RU,1686625387
75,puerto ayora,-0.7393,-90.3518,26.42,92,76,3.13,EC,1686625141
76,chonchi,-42.6128,-73.8092,3.56,95,32,0.79,CL,1686625387
77,iqaluit,63.7506,-68.5145,0.85,69,75,4.63,CA,1686625387
78,san antonio de pale,-1.4014,5.6325,24.33,88,99,3.01,GQ,1686625388
79,zeven,53.3,9.2833,14.45,63,6,3.81,DE,1686625388
80,darnah,32.767,22.6367,20.74,88,0,5.48,LY,1686625388
81,udachny,66.4167,112.4,16.92,31,18,7.11,RU,1686625388
82,utrik,11.2278,169.8474,27.77,80,48,7.99,MH,1686625160
83,dudinka,69.4058,86.1778,11.6,56,64,2.98,RU,1686625388
84,inhambane,-23.865,35.3833,19.02,89,66,2.33,MZ,1686625389
85,enewetak,11.3474,162.3373,27.96,81,99,8.62,MH,1686625389
86,jurilovca,44.7667,28.8667,13.05,83,31,7.83,RO,1686625389
87,dong ha,16.8163,107.1003,31.29,57,99,6.2,VN,1686625389
88,mount pearl,47.5166,-52.7813,8.8,95,100,7.2,CA,1686625389
89,lihue,21.9789,-159.3672,27.58,77,40,6.17,US,1686625389
90,port macquarie,-31.4333,152.9167,20.6,48,100,2.31,AU,1686624962
91,torquay,50.4638,-3.5143,15.2,91,20,0.89,GB,1686625390
92,manokwari,-0.8667,134.0833,27.74,76,54,1.41,ID,1686625390
93,ola,59.5833,151.2833,18.97,90,87,5.0,RU,1686625390
94,hermanus,-34.4187,19.2345,16.0,88,100,13.84,ZA,1686625390
95,bardai,11.65,7.2333,22.44,85,63,2.55,NG,1686625390
96,kulhudhuffushi,6.6221,73.07,28.85,80,100,7.95,MV,1686625390
97,stanley,54.868,-1.6985,12.06,94,100,0.51,GB,1686625343
98,hithadhoo,-0.6,73.0833,28.76,70,66,3.71,MV,1686625219
99,cerkezkoy,41.285,28.0003,15.1,94,75,0.0,TR,1686625391
100,alice springs,-23.7,133.8833,18.45,30,0,4.12,AU,1686625391
101,greymouth,-42.4667,171.2,13.02,59,13,0.92,NZ,1686625391
102,bamboo flat,11.7,92.7167,29.05,84,100,2.57,IN,1686625391
103,anadyr,64.75,177.4833,17.28,48,0,3.0,RU,1686625391
104,antigonish,45.6169,-61.9986,15.46,77,64,0.48,CA,1686625392
105,kaa-khem,51.6833,94.7333,19.98,37,16,2.24,RU,1686625159
106,richards bay,-28.783,32.0377,16.03,89,3,1.9,ZA,1686625392
